"year","employment_rate"
2013,90.1358974358974
2014,90.6656862745098
2015,90.8733944954128
2016,90.2224299065421
2017,90.8858490566038
2018,91.0636363636364
2019,91.0872
2020,94.0827338129496
2021,94.4810606060606
