employment_rate_overall,gross_monthly_mean,university
87.4,3496,Nanyang Technological University
88,3322,Nanyang Technological University
88.4,3753,Nanyang Technological University
73.3,3264,Nanyang Technological University
85.7,3402,Nanyang Technological University
100,2882,Nanyang Technological University
74.6,3229,Nanyang Technological University
83.9,3139,Nanyang Technological University
95.3,3440,Nanyang Technological University
81.8,3402,Nanyang Technological University
82.1,3186,Nanyang Technological University
90.7,3307,Nanyang Technological University
100,3604,Nanyang Technological University
100,3622,Nanyang Technological University
88.4,2999,National University of Singapore
83,3310,National University of Singapore
88.6,3442,National University of Singapore
88.2,3341,National University of Singapore
96,4326,National University of Singapore
97.6,2983,National University of Singapore
98.6,3587,National University of Singapore
92.6,3291,National University of Singapore
97,3890,National University of Singapore
90.3,3301,National University of Singapore
97.2,3699,National University of Singapore
100,4083,National University of Singapore
97.6,4099,National University of Singapore
72,2908,National University of Singapore
94.3,3067,National University of Singapore
93.9,3325,National University of Singapore
86.2,3357,National University of Singapore
86,3529,National University of Singapore
96.5,3366,National University of Singapore
91.8,4252,National University of Singapore
92.1,3589,National University of Singapore
82.6,3812,National University of Singapore
88.1,3337,National University of Singapore
96.1,3724,National University of Singapore
100,3391,National University of Singapore
83.3,3422,National University of Singapore
96.9,4910,National University of Singapore
100,4729,National University of Singapore
97.3,3356,National University of Singapore
100,3466,National University of Singapore
82.4,3344,National University of Singapore
85.2,3355,National University of Singapore
84.3,3052,National University of Singapore
83.9,3321,National University of Singapore
99,3717,National University of Singapore
71.9,3433,National University of Singapore
97.3,3427,Singapore Management University
97.7,3701,Singapore Management University
93.9,3611,Singapore Management University
98.3,4130,Singapore Management University
90.3,3946,Singapore Management University
98.2,4380,Singapore Management University
94.8,3660,Singapore Management University
97.4,3834,Singapore Management University
89,3550,Singapore Management University
93.1,4012,Singapore Management University
99,4997,Singapore Management University
100,5313,Singapore Management University
92.5,3565,Singapore University of Technology and Design
80.3,3763,Singapore University of Technology and Design
86,3952,Singapore University of Technology and Design
88.5,2682,Singapore Institute of Technology
95.2,3346,Singapore Institute of Technology
76.1,2922,Singapore Institute of Technology
87.5,2893,Singapore Institute of Technology
85.5,3405,Singapore Institute of Technology
83,3452,Singapore Institute of Technology
91.7,3354,Singapore Institute of Technology
90.5,3266,Singapore Institute of Technology
100,3266,Singapore Institute of Technology
100,3469,Singapore Institute of Technology
89.2,2876,Singapore Institute of Technology
87.5,2970,Singapore Institute of Technology
100,3339,Singapore Institute of Technology
92.6,2586,Singapore Institute of Technology
100,3486,Singapore Institute of Technology
100,3149,Singapore Institute of Technology
100,3310,Singapore Institute of Technology
81.6,2840,Singapore Institute of Technology
83.3,3185,Singapore Institute of Technology
72.2,3685,Singapore Institute of Technology
96.4,3404,Singapore Institute of Technology
95.6,3391,Singapore Institute of Technology
98.3,3624,Singapore Institute of Technology
89.9,2607,Singapore Institute of Technology
100,2807,Singapore Institute of Technology
97.3,3063,Nanyang Technological University
97.4,3893,Nanyang Technological University
89.6,3444,Nanyang Technological University
94.4,4407,Nanyang Technological University
82.4,3840,Nanyang Technological University
77.8,3317,Nanyang Technological University
80.6,3476,Nanyang Technological University
92.4,3505,Nanyang Technological University
83.3,3833,Nanyang Technological University
94.6,3848,Nanyang Technological University
89.1,3517,Nanyang Technological University
80.6,3216,Nanyang Technological University
94.6,3570,Nanyang Technological University
94.2,3328,Nanyang Technological University
81.3,3317,Nanyang Technological University
86,3505,Nanyang Technological University
79.7,2761,Nanyang Technological University
91.1,3345,Nanyang Technological University
87.7,2996,Nanyang Technological University
91.3,3440,Nanyang Technological University
75,2997,Nanyang Technological University
87.2,3082,Nanyang Technological University
81.8,3368,Nanyang Technological University
82.1,3136,Nanyang Technological University
86.1,3480,Nanyang Technological University
94.4,2577,Nanyang Technological University
80.5,3222,Nanyang Technological University
80.6,3234,Nanyang Technological University
88.5,3535,Nanyang Technological University
89.4,3458,Nanyang Technological University
85.7,3683,Nanyang Technological University
83.1,3272,Nanyang Technological University
100,3525,Nanyang Technological University
100,3546,Nanyang Technological University
86.1,3063,National University of Singapore
90.7,3321,National University of Singapore
89.5,3423,National University of Singapore
100,4221,National University of Singapore
91.9,3366,National University of Singapore
85.3,3562,National University of Singapore
95.3,3509,National University of Singapore
89.1,3942,National University of Singapore
91.9,3765,National University of Singapore
85.2,3707,National University of Singapore
79.3,3470,National University of Singapore
80.3,3879,National University of Singapore
90.2,3501,National University of Singapore
86.6,3560,National University of Singapore
97.7,4898,National University of Singapore
81,3058,National University of Singapore
84.3,2995,National University of Singapore
84.9,3386,National University of Singapore
99.1,3597,National University of Singapore
93.6,3282,National University of Singapore
96.4,4207,National University of Singapore
88.6,3020,National University of Singapore
99,3465,National University of Singapore
96.3,4385,National University of Singapore
94,3969,National University of Singapore
93.2,3960,National University of Singapore
90.6,3320,National University of Singapore
87.8,3113,National University of Singapore
94.6,3368,National University of Singapore
99.4,4887,National University of Singapore
93.2,3363,National University of Singapore
95.1,3529,National University of Singapore
85.7,3250,National University of Singapore
83.8,3399,National University of Singapore
98.5,3455,Singapore Management University
100,3943,Singapore Management University
92.4,3831,Singapore Management University
96.1,4234,Singapore Management University
93.4,3906,Singapore Management University
97,4425,Singapore Management University
95.7,3897,Singapore Management University
97.5,4603,Singapore Management University
91.5,3311,Singapore Management University
94.9,3548,Singapore Management University
95.8,4915,Singapore Management University
96.7,5095,Singapore Management University
85.7,3329,Singapore Institute of Technology
100,3803,Singapore Institute of Technology
91.1,2652,Singapore Institute of Technology
97.4,2485,Singapore Institute of Technology
85.9,3463,Singapore Institute of Technology
86.4,3440,Singapore Institute of Technology
95.2,3956,Singapore Institute of Technology
87,3344,Singapore Institute of Technology
90,3239,Singapore Institute of Technology
86.4,3286,Singapore Institute of Technology
86.7,2707,Singapore Institute of Technology
78.6,3149,Singapore Institute of Technology
90.9,3042,Singapore Institute of Technology
86.2,2344,Singapore Institute of Technology
88.2,3628,Singapore Institute of Technology
100,3301,Singapore Institute of Technology
100,3344,Singapore Institute of Technology
81.6,3277,Singapore Institute of Technology
87,3273,Singapore Institute of Technology
88.7,3523,Singapore Institute of Technology
89.8,3704,Singapore Institute of Technology
92.7,3600,Singapore Institute of Technology
92.6,4131,Singapore Institute of Technology
98,2707,Singapore Institute of Technology
87,3690,Singapore University of Technology and Design
91.9,4232,Singapore University of Technology and Design
100,3830,Singapore University of Technology and Design
97.1,3166,Nanyang Technological University
97.2,3892,Nanyang Technological University
100,5225,Nanyang Technological University
80,3702,Nanyang Technological University
78.3,3486,Nanyang Technological University
82.3,3577,Nanyang Technological University
98.5,3442,Nanyang Technological University
92.4,4160,Nanyang Technological University
89.3,3657,Nanyang Technological University
86.9,3790,Nanyang Technological University
84.9,3434,Nanyang Technological University
82.7,3579,Nanyang Technological University
84.6,3147,Nanyang Technological University
92.6,3184,Nanyang Technological University
84.7,3379,Nanyang Technological University
86,3265,Nanyang Technological University
80,3117,Nanyang Technological University
74.1,3479,Nanyang Technological University
92,2792,Nanyang Technological University
80.4,3255,Nanyang Technological University
70.1,3173,Nanyang Technological University
89.7,3580,Nanyang Technological University
89.8,3625,Nanyang Technological University
81.6,3490,Nanyang Technological University
81.1,3486,Nanyang Technological University
100,3701,Nanyang Technological University
85.8,3107,National University of Singapore
88.2,3391,National University of Singapore
88.3,3443,National University of Singapore
100,4143,National University of Singapore
90.6,3367,National University of Singapore
87.8,3727,National University of Singapore
95.5,3427,National University of Singapore
89.4,3641,National University of Singapore
76.5,3827,National University of Singapore
86.3,3546,National University of Singapore
93.3,4035,National University of Singapore
94,3570,National University of Singapore
87.3,3657,National University of Singapore
95.8,5121,National University of Singapore
82.1,3187,National University of Singapore
76.9,3214,National University of Singapore
85.9,3435,National University of Singapore
99.1,3616,National University of Singapore
94.9,4031,National University of Singapore
98.2,4388,National University of Singapore
97.2,3473,National University of Singapore
100,3744,National University of Singapore
93.5,4628,National University of Singapore
