employment_rate_overall,gross_monthly_mean,university
94.7,3773,Singapore Institute of Technology
86,2675,Singapore Institute of Technology
85.7,2876,Singapore Institute of Technology
83.9,2992,Singapore Institute of Technology
91.2,4159,Singapore Institute of Technology
100,3940,Singapore Institute of Technology
95,3592,Singapore Institute of Technology
89.3,3690,Singapore Institute of Technology
98.6,4530,Singapore Institute of Technology
93.7,3919,Singapore Institute of Technology
94.7,3694,Singapore Management University
96.3,4057,Singapore Management University
95.8,4293,Singapore Management University
97.5,4688,Singapore Management University
91.5,4290,Singapore Management University
94.7,4749,Singapore Management University
93.1,4683,Singapore Management University
93.3,5064,Singapore Management University
89.9,3626,Singapore Management University
90.6,3784,Singapore Management University
95.5,4804,Singapore Management University
97,5141,Singapore Management University
100,2879,Singapore University of Social Sciences
90.6,3051,Singapore University of Social Sciences
97.3,3486,Singapore University of Social Sciences
94.6,3116,Singapore University of Social Sciences
100,3854,Singapore University of Social Sciences
92.1,3246,Singapore University of Social Sciences
88,3284,Singapore University of Social Sciences
94.6,3901,Singapore University of Technology and Design
95.2,4287,Singapore University of Technology and Design
96.9,4734,Singapore University of Technology and Design
100,3982,Singapore University of Technology and Design
97.7,3539,Nanyang Technological University
99.2,5173,Nanyang Technological University
96.2,4362,Nanyang Technological University
93.8,6578,Nanyang Technological University
94.4,4321,Nanyang Technological University
90.9,3654,Nanyang Technological University
91.1,3959,Nanyang Technological University
97.7,3664,Nanyang Technological University
95.8,4847,Nanyang Technological University
97,4924,Nanyang Technological University
90.9,4566,Nanyang Technological University
93.9,4069,Nanyang Technological University
96.6,3487,Nanyang Technological University
95.7,4325,Nanyang Technological University
98.4,3763,Nanyang Technological University
96.3,3801,Nanyang Technological University
94,4006,Nanyang Technological University
86.2,3182,Nanyang Technological University
87,3483,Nanyang Technological University
96.9,3548,Nanyang Technological University
93.5,3720,Nanyang Technological University
95.5,3354,Nanyang Technological University
82.2,3800,Nanyang Technological University
92.9,3822,Nanyang Technological University
87.2,3398,Nanyang Technological University
88.5,3502,Nanyang Technological University
91.8,3362,Nanyang Technological University
83.3,4105,Nanyang Technological University
91.3,3567,Nanyang Technological University
96.8,3569,Nanyang Technological University
90.9,3119,Nanyang Technological University
90.2,3501,Nanyang Technological University
100,3888,Nanyang Technological University
91,4039,Nanyang Technological University
84.5,3793,Nanyang Technological University
86.2,3438,Nanyang Technological University
100,3718,Nanyang Technological University
100,3796,Nanyang Technological University
100,5404,Nanyang Technological University
91.4,3600,National University of Singapore
88.8,3731,National University of Singapore
92.5,3850,National University of Singapore
100,4286,National University of Singapore
94.4,3732,National University of Singapore
91.4,4023,National University of Singapore
97.3,3897,National University of Singapore
95.1,4377,National University of Singapore
89.5,4399,National University of Singapore
97.1,3607,National University of Singapore
96.7,4417,National University of Singapore
91.7,4020,National University of Singapore
94.5,4115,National University of Singapore
96.5,5627,National University of Singapore
82.4,3627,National University of Singapore
92.2,3767,National University of Singapore
100,4677,National University of Singapore
95.9,3923,National University of Singapore
97.7,4981,National University of Singapore
94.7,5567,National University of Singapore
98.1,4950,National University of Singapore
100,3515,National University of Singapore
97,4194,National University of Singapore
99.1,6002,National University of Singapore
100,5095,National University of Singapore
97.5,5217,National University of Singapore
100,5603,National University of Singapore
97.7,4139,National University of Singapore
87.5,4178,National University of Singapore
93.1,3560,National University of Singapore
94.5,3863,National University of Singapore
97.9,3750,National University of Singapore
82.4,3203,National University of Singapore
88.3,4453,National University of Singapore
94.6,4952,National University of Singapore
97.4,5473,National University of Singapore
97.4,3658,National University of Singapore
100,3490,Singapore Institute of Technology
80,3125,Singapore Institute of Technology
88.2,4324,Singapore Institute of Technology
95.1,4984,Singapore Institute of Technology
97.7,3431,Singapore Institute of Technology
100,5251,Singapore Institute of Technology
100,5215,Singapore Institute of Technology
100,3394,Singapore Institute of Technology
98.3,3736,Singapore Institute of Technology
98,3773,Singapore Institute of Technology
96.3,3788,Singapore Institute of Technology
97.5,4146,Singapore Institute of Technology
96.1,3216,Singapore Institute of Technology
100,3880,Singapore Institute of Technology
100,3546,Singapore Institute of Technology
100,3328,Singapore Institute of Technology
100,4402,Singapore Institute of Technology
96.4,3322,Singapore Institute of Technology
79.2,3836,Singapore Institute of Technology
98.3,3691,Singapore Institute of Technology
100,3819,Singapore Institute of Technology
93.4,3787,Singapore Institute of Technology
100,3592,Singapore Institute of Technology
82.4,3575,Singapore Institute of Technology
97.9,3591,Singapore Institute of Technology
92.8,3719,Singapore Institute of Technology
98.3,3697,Singapore Institute of Technology
95.7,3645,Singapore Institute of Technology
81.5,3806,Singapore Institute of Technology
91.9,2817,Singapore Institute of Technology
94.4,2989,Singapore Institute of Technology
94.3,2807,Singapore Institute of Technology
95.5,4001,Singapore Institute of Technology
98.7,3814,Singapore Management University
97.9,4213,Singapore Management University
96.6,4371,Singapore Management University
96.6,4855,Singapore Management University
91.8,4777,Singapore Management University
94.1,5310,Singapore Management University
98.2,4906,Singapore Management University
97.4,5499,Singapore Management University
94.1,3836,Singapore Management University
96.9,4063,Singapore Management University
100,5433,Singapore Management University
100,5754,Singapore Management University
93,2963,Singapore University of Social Sciences
95.6,3412,Singapore University of Social Sciences
94.7,3461,Singapore University of Social Sciences
98.6,3231,Singapore University of Social Sciences
93.5,4372,Singapore University of Social Sciences
84.4,3862,Singapore University of Social Sciences
92.4,3411,Singapore University of Social Sciences
97.4,3381,Singapore University of Social Sciences
98.3,5030,Singapore University of Technology and Design
89.9,4141,Singapore University of Technology and Design
95.5,4778,Singapore University of Technology and Design
96.6,3842,Singapore University of Technology and Design
