"employment_rate_overall","gross_monthly_mean","category"
96.9,4658,"Science1"
93.5,4499,"Science1"
89,3237,"Science1"
91.7,3372,"Science1"
94.6,3469,"Science1"
98,3546,"Science1"
89.5,5136,"Science1"
94.7,3576,"Science1"
96.8,4088,"Science1"
90.4,2895,"Science1"
95.3,3536,"Science1"
95.8,3571,"Science1"
96.6,3431,"Science1"
100,3276,"Science1"
83.7,3298,"Science1"
83.3,3609,"Science1"
94.7,3996,"Science1"
100,2911,"Science1"
85.6,3409,"Science1"
84.2,3880,"Science1"
88,3393,"Science1"
94,3023,"Science1"
95.1,3945,"Science1"
97.4,4309,"Science1"
81.6,3450,"Science1"
95.2,2979,"Science1"
87.5,3416,"Science1"
91.2,3848,"Science1"
87,3438,"Science1"
100,3758,"Science1"
88,3674,"Science1"
84.6,4285,"Science1"
78.6,4086,"Science1"
84,3320,"Science1"
88.5,3605,"Science1"
100,3840,"Science1"
92.8,5571,"Science1"
100,4881,"Science1"
88.3,3243,"Science1"
95.3,3494,"Science1"
93.5,3314,"Science1"
98.8,3612,"Science1"
94.7,7139,"Science1"
91.3,3791,"Science1"
100,4474,"Science1"
100,3466,"Science1"
98.3,3498,"Science1"
100,3772,"Science1"
81.8,3471,"Science1"
92.3,4366,"Science1"
92.2,3629,"Science1"
92.7,3742,"Science1"
88.6,3722,"Science1"
88.3,3169,"Science1"
100,3985,"Science1"
92.2,4558,"Science1"
88.9,3401,"Science1"
94.7,2969,"Science1"
95.5,3657,"Science1"
92.4,3823,"Science1"
91.5,3661,"Science1"
100,3744,"Science1"
93.5,3666,"Science1"
91.3,4584,"Science1"
90.3,3922,"Science1"
86,3297,"Science1"
93.1,3723,"Science1"
80,4625,"Science1"
99.3,3751,"Science1"
100,4456,"Science1"
97.1,5735,"Science1"
98,5094,"Science1"
92.2,3400,"Science1"
95.1,3682,"Science1"
97.4,3489,"Science1"
98.5,3616,"Science1"
92.6,5798,"Science1"
97.7,3974,"Science1"
97.6,4399,"Science1"
100,3685,"Science1"
100,3542,"Science1"
98.2,3518,"Science1"
100,3380,"Science1"
96.2,3725,"Science1"
93.3,3387,"Science1"
94.7,3773,"Science1"
98.6,4530,"Science1"
89.9,3626,"Science1"
90.6,3784,"Science1"
100,3854,"Science1"
92.1,3246,"Science1"
88,3284,"Science1"
100,3982,"Science1"
97,4924,"Science1"
96.8,3569,"Science1"
90.9,3119,"Science1"
100,3888,"Science1"
91,4039,"Science1"
86.2,3438,"Science1"
100,3796,"Science1"
92.5,3850,"Science1"
89.5,4399,"Science1"
91.7,4020,"Science1"
82.4,3627,"Science1"
92.2,3767,"Science1"
100,4677,"Science1"
95.9,3923,"Science1"
97.7,4981,"Science1"
99.1,6002,"Science1"
100,5603,"Science1"
93.1,3560,"Science1"
94.5,3863,"Science1"
97.9,3750,"Science1"
94.6,4952,"Science1"
88.2,4324,"Science1"
95.1,4984,"Science1"
100,3880,"Science1"
100,3546,"Science1"
100,3328,"Science1"
97.9,3591,"Science1"
98.3,3697,"Science1"
95.7,3645,"Science1"
81.5,3806,"Science1"
94.1,3836,"Science1"
96.9,4063,"Science1"
93.5,4372,"Science1"
84.4,3862,"Science1"
92.4,3411,"Science1"
97.4,3381,"Science1"
98.3,5030,"Science1"
96.6,3842,"Science1"
75,2854,"Science2"
89.2,2876,"Science2"
86.7,2707,"Science2"
97.7,2980,"Science2"
90.4,2895,"Science2"
86.5,2929,"Science2"
93,2978,"Science2"
81,2852,"Science2"
95.2,3084,"Science2"
86,2675,"Science2"
96.4,3322,"Science2"
91.9,2817,"Science2"
79.8,3083,"Science3"
80.5,3321,"Science3"
83.9,3139,"Science3"
80.6,3234,"Science3"
70.1,3173,"Science3"
77.6,3427,"Science3"
80.9,3338,"Science3"
91.9,3345,"Science3"
90.2,3501,"Science3"
90.7,2883,"Science4"
78.6,3002,"Science4"
88.1,3210,"Science4"
86.5,3150,"Science4"
87.5,3267,"Science4"
75.1,3174,"Science4"
88.7,3304,"Science4"
90.9,3166,"Science4"
87.5,3545,"Science4"
74.6,3229,"Science4"
88.6,3442,"Science4"
89,3550,"Science4"
93.1,4012,"Science4"
94.4,2577,"Science4"
80.5,3222,"Science4"
88.5,3535,"Science4"
89.5,3423,"Science4"
91.5,3311,"Science4"
94.9,3548,"Science4"
92,2792,"Science4"
80.4,3255,"Science4"
89.7,3580,"Science4"
88.3,3443,"Science4"
91.3,3493,"Science4"
87.9,3938,"Science4"
80.1,3319,"Science4"
90.9,2953,"Science4"
87.1,3744,"Science4"
88.2,3526,"Science4"
85.6,3409,"Science4"
84.2,3880,"Science4"
81.6,3450,"Science4"
95.2,2979,"Science4"
87.5,3416,"Science4"
91.2,3848,"Science4"
88,3674,"Science4"
92.2,3629,"Science4"
92.7,3742,"Science4"
88.9,3401,"Science4"
94.7,2969,"Science4"
95.5,3657,"Science4"
92.4,3823,"Science4"
93.5,3666,"Science4"
89.9,3626,"Science4"
90.6,3784,"Science4"
