"year","average_of_gross_monthly_income"
2013,3353.75641025641
2014,3371.83333333333
2015,3478.78899082569
2016,3534.77570093458
2017,3634.95283018868
2018,3679.14049586777
2019,3857.52
2020,3919.82014388489
2021,4068.73484848485
